device_type,device_id,aircraft_model,registration,cn,tracked,identified,aircraft_type
O,0A6B23,Paraglider,Bladti,,Y,Y,6
O,0AC6A1,Paraglider,BkaRES,,Y,Y,6
O,0AD9BC,Paraglider,SZ-2131,131,Y,Y,6
F,0B24E1,FK9 Mark 2,D-MCOE,,Y,Y,3
O,0C15C8,Paraglider,SkNm 07,SN7,Y,Y,6
O,0C1AB8,Paraglider,SkNm 05,SN5,Y,Y,6
O,0C1B2C,Towplane,RA,,Y,Y,2
O,0C2134,Blanik,OK-2718,L13,Y,Y,1
O,0C2764,HangGlider,Mario,999,Y,Y,6
O,0C276C,Paraglider,SkNm 03,SN3,Y,Y,6
F,0C2A74,UFO,F-RANK,,Y,Y,6
O,0C2AD0,Paraglider,SkNm 06,SN6,Y,Y,6
O,0C2AF4,Paraglider,chili3,BH2,Y,Y,6
O,0C3480,Paraglider,SkNm 04,SN4,Y,Y,6
F,0C386C,Paraglider,JohanT,JT,Y,Y,6
O,0C38AC,Paraglider,SkNm 08,SN8,Y,Y,6
O,0C3AD4,Blanik,0c3ad4,,Y,Y,1
O,0C3AE0,Ikarus C42 B,D-MPEJ,,Y,Y,3
F,0C3BB0,ASK-21,I-ANTO,NY,Y,Y,1
O,0C3C34,Drone/UAV,Mav-Wb2,,Y,Y,5
O,0C3F94,Unknown,F-TEST,,Y,Y,6
O,0C3FF0,Motorplane,HB-RYD,,Y,Y,2
O,0C40D0,Ikarus C42 B,D-MOMN,,Y,Y,3
O,0C40D4,Ultralight,F-JTRJ,,Y,Y,3
O,0C41B4,Ground Station,KBfly,,Y,Y,6
O,0C41BC,Unknown,F-PGDL,DL,Y,Y,6
I,0C9876,PA-28,ZS-PZM,PZM,Y,Y,2
O,0C9C76,UFO,,,Y,Y,6
O,0CC4B8,Paraglider,SZ-982,982,Y,Y,6
O,0CCA10,Rubik R-26 Gobe,HA5597,,Y,Y,1
